Country,Year,Full Date,Location,Tests,Yield
France,1960,12/27/60,Atmospheric,1,3
France,1960,2/13/60,Atmospheric,1,65
France,1960,4/1/60,Atmospheric,1,10
France,1961,11/7/61,Underground,1,10
France,1961,4/25/61,Atmospheric,1,0.5
France,1962,5/1/62,Underground,1,40
France,1963,10/20/63,Underground,1,52
France,1963,3/18/63,Underground,1,10
France,1963,3/30/63,Underground,1,2.5
France,1964,11/28/64,Underground,1,10
France,1964,2/14/64,Underground,1,3.7
France,1964,6/15/64,Underground,1,2.5
France,1965,10/1/65,Underground,1,2.5
France,1965,12/1/65,Underground,1,10
France,1965,2/27/65,Underground,1,127
France,1965,5/30/65,Underground,1,2.5
France,1966,10/4/66,Atmospheric,1,205
France,1966,2/16/66,Underground,1,13
France,1966,7/19/66,Atmospheric,1,50
France,1966,7/2/66,Atmospheric,1,28
France,1966,7/21/66,Atmospheric,1,0
France,1966,9/11/66,Atmospheric,1,110
France,1966,9/24/66,Atmospheric,1,125
France,1967,6/27/67,Atmospheric,1,120
France,1967,6/5/67,Atmospheric,1,15
France,1967,7/2/67,Atmospheric,1,22
France,1968,7/15/68,Atmospheric,1,450
France,1968,7/7/68,Atmospheric,1,115
France,1968,8/24/68,Atmospheric,1,2600
France,1968,8/3/68,Atmospheric,1,150
France,1968,9/8/68,Atmospheric,1,1280
France,1970,5/15/70,Atmospheric,1,13
France,1970,5/22/70,Atmospheric,1,224
France,1970,5/30/70,Atmospheric,1,945
France,1970,6/24/70,Atmospheric,1,12
France,1970,7/27/70,Atmospheric,1,0.05
France,1970,7/3/70,Atmospheric,1,914
France,1970,8/2/70,Atmospheric,1,72
France,1970,8/6/70,Atmospheric,1,594
France,1971,6/12/71,Atmospheric,1,440
France,1971,6/5/71,Atmospheric,1,34
France,1971,7/4/71,Atmospheric,1,9
France,1971,8/14/71,Atmospheric,1,955
France,1971,8/8/71,Atmospheric,1,4
France,1972,6/25/72,Atmospheric,1,0.5
France,1972,6/30/72,Atmospheric,1,4
France,1972,7/27/72,Atmospheric,1,6
France,1972,7/31/72,Atmospheric,1,0.001
France,1973,7/21/73,Atmospheric,1,11
France,1973,7/28/73,Atmospheric,1,0.05
France,1973,8/18/73,Atmospheric,1,4
France,1973,8/24/73,Atmospheric,1,0.2
France,1973,8/28/73,Atmospheric,1,6.6
France,1973,9/13/73,Atmospheric,1,0
France,1974,6/16/74,Atmospheric,1,4
France,1974,7/1/74,Atmospheric,1,0
France,1974,7/17/74,Atmospheric,1,4
France,1974,7/25/74,Atmospheric,1,8
France,1974,7/28/74,Atmospheric,1,0.001
France,1974,7/7/74,Atmospheric,1,150
France,1974,8/14/74,Atmospheric,1,96
France,1974,8/24/74,Atmospheric,1,14
France,1974,9/14/74,Atmospheric,1,332
France,1975,11/26/75,Underground,1,5
France,1975,6/5/75,Underground,1,5
France,1976,10/30/76,Underground,1,1
France,1976,12/5/76,Underground,1,1
France,1976,4/3/76,Underground,1,1
France,1976,7/11/76,Underground,1,12
France,1976,7/22/76,Underground,1,0
France,1977,11/12/77,Underground,1,5
France,1977,11/24/77,Underground,1,50
France,1977,12/17/77,Underground,1,5
France,1977,2/19/77,Underground,1,5
France,1977,3/19/77,Underground,1,47
France,1977,4/2/77,Underground,1,1
France,1977,6/28/77,Underground,1,0
France,1977,7/12/77,Underground,1,0
France,1977,7/6/77,Underground,1,20
France,1978,11/14/78,Underground,1,0
France,1978,11/2/78,Underground,1,3
France,1978,11/30/78,Underground,1,64
France,1978,12/17/78,Underground,1,5
France,1978,12/19/78,Underground,1,12
France,1978,2/27/78,Underground,1,1
France,1978,3/22/78,Underground,1,5
France,1978,3/25/78,Underground,1,1
France,1978,7/1/78,Underground,1,1
France,1978,7/19/78,Underground,1,5
France,1978,7/26/78,Underground,1,4
France,1979,11/19/79,Underground,1,1
France,1979,11/22/79,Underground,1,4
France,1979,3/1/79,Underground,1,8
France,1979,3/24/79,Underground,1,8
France,1979,3/9/79,Underground,1,14
France,1979,4/4/79,Underground,1,6
France,1979,6/18/79,Underground,1,5
France,1979,6/29/79,Underground,1,28
