Years,China,France,Russia,United Kingdom,United States of America,Grand Total
1945,0,0,0,0,57,57
1946,0,0,0,0,42,42
1948,0,0,0,0,104,104
1949,0,0,22,0,0,22
1950,0,0,0,0,0,0
1951,0,0,80.3,0,510.45,590.75
1952,0,0,0,25,11004,11029
1953,0,0,440.3,18,252.4,710.7
1954,0,0,121.831,0,48200,48321.831
1955,0,0,1864.5,0,197,2061.5
1956,0,0,1975.8,142.5,20820.19,22938.49
1957,0,0,6239,3053.53,344.2675,9636.7975
1958,0,0,16251.711,4849,35650.8137,56751.5247
1960,0,78,0,0,0,78
1961,0,10.5,95699.135,0,119.65,95829.285
1962,0,40,141562.279,19.5,37553.65,179175.429
1963,0,64.5,0,0,810.94,875.44
1964,22,16.2,177.37,2,658.942,876.512
1965,35,142,343.16,29,734.83,1283.99
1966,562,531,2014.3,0,2743.6,5850.9
1967,3320,157,907.2,0,1490.65,5874.85
1968,3000,4595,625.163,0,5090.2,13310.363
1969,3019.2,0,4046.4,0,3355.9,10421.5
1970,3400,2774.05,5724.701,0,3501.925,15400.676
1971,20,1442,7616.23,0,5317,14395.23
1972,178,10.501,5025.802,0,711.3,5925.603
1973,3000,21.85,12949.402,0,780.005,16751.257
1974,1000,608.001,6959.611,20,843.2,9430.812
1975,2.5,10,14090.75,0,4095.35,18198.6
1976,4222.6,15,4878.501,51,4463.7,13630.801
1977,20,133,921.802,0,848.5,1923.302
1978,34.4,101,1839.69,105,969.75,3049.84
1979,21,191,2333.603,20,594.3,3159.903
1980,1000,283,1787.301,185,463.57,3718.871
1981,0,93,1148.203,77,462.5,1780.703
1982,7,102,1458.8,89,911.5,2568.3
1983,101,154.25,1058.401,1.5,400.1,1715.251
1984,85,192.5,1760.1,180,590.55,2808.15
1985,0,190,1016.5,110,672.085,1988.585
1986,0,107,0,89,865.95,1061.95
1987,250,196,1985.3,20,680,3131.3
1988,3,322,1085.004,0,1044.5,2454.504
1989,0,269,518,120,458.5,1365.5
1990,254,297,150.003,103,426.1,1230.103
1991,0,189.3,0,11,409,609.3
1992,669,0,0,0,172.08,841.08
1993,80,0,0,0,0,80
1994,180,0,0,0,0,180
1995,185,185,0,0,0,370
1996,53,46,0,0,0,99
