Year,China,France,Russia,United Kingdom,United States of America,Grand Total
1945,0,0,0,0,57,57
1946,0,0,0,0,21,21
1948,0,0,0,0,104,104
1949,0,0,22,0,0,22
1950,0,0,0,0,0,0
1951,0,0,80.3,0,509.25,589.55
1952,0,0,0,25,11004,11029
1953,0,0,440.3,18,236.4,694.7
1954,0,0,121.831,0,48200,48321.831
1955,0,0,1864.5,0,166,2030.5
1956,0,0,1975.8,142.5,20820.19,22938.49
1957,0,0,6233,3053.53,342.5375,9629.0675
1958,0,0,16251.711,4849,35633.5462,56734.2572
1960,0,78,0,0,0,78
1961,0,0.5,95698.135,0,0,95698.635
1962,0,0,141547.279,0,36910.2,178457.479
1963,0,0,0,0,0,0
1964,22,0,0,0,0,22
1965,35,0,0,0,0,35
1966,562,518,0,0,0,1080
1967,3320,157,0,0,0,3477
1968,3000,4595,0,0,0,7595
1969,3000,0,0,0,0,3000
1970,3400,2774.05,0,0,0,6174.05
1971,20,1442,0,0,0,1462
1972,178,10.501,0,0,0,188.501
1973,3000,21.85,0,0,0,3021.85
1974,1000,608.001,0,0,0,1608.001
1976,4220,0,0,0,0,4220
1977,20,0,0,0,0,20
1978,31,0,0,0,0,31
1980,1000,0,0,0,0,1000
